类目,月份,数据值（万）,图表页链接,明细页链接
Jumpers,2025-01,97.0,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-02,67.6,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-03,46.7,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-04,37.8,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-05,30.3,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-06,28.8,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-07,24.8,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-08,22.0,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-09,49.0,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-10,76.1,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-11,103.7,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jumpers,2025-12,409.3,https://vip.oalur.com/analysis/market/chart?pathId=1730985031&pathName=Jumpers(Current)&site=UK,
Jackets,2025-01,95.3,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-02,75.1,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-03,60.3,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-04,62.9,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-05,59.2,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-06,57.3,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-07,55.5,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-08,40.8,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-09,75.8,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-10,96.6,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-11,113.2,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
Jackets,2025-12,175.8,https://vip.oalur.com/analysis/market/chart?pathId=1730996031&pathName=Jackets(Current)&site=UK,
